Clause Type,Original Text,Summary,Risk Level,Risk Reasons
Student Progression and Selection,"To students completing Phases 1–4 successfully​ ●​ OR directly from Phase 2 to Phase 5 if internal projects, internships are not available (based on internal discretion)​ 4.4 Syncner reserves full authority to make final decisions on student phase allocation, phase skipping, or direct disqualification, based on real-time training and operational constraints.","Students typically progress through phases 1-4, but may skip to phase 5 if internships/projects are unavailable (at Syncner's discretion). Syncner retains ultimate authority over student placement and advancement, potentially overriding student performance.",medium,Contains 'discretion'
Phase Progression and Disqualification,"ting Phases 1–4 successfully​ ●​ OR directly from Phase 2 to Phase 5 if internal projects, internships are not available (based on internal discretion)​ 4.4 Syncner reserves full authority to make final decisions on student phase allocation, phase skipping, or direct disqualification, based on real-time training and operational constraints.","Students progress through training phases, potentially skipping phases based on availability and Syncner's discretion. Syncner retains ultimate authority to manage student progression and even disqualify students.",medium,Contains 'discretion'
Disqualification and Refund Policy,"Students disqualified due to poor performance, absenteeism, or code of conduct violations shall not be entitled to refunds of any fees paid.​ 5.2 Any disqualified student will lose access to all future benefits, including placement training, internship facilitation, or alumni support.​ 5.3 Students may submit an appeal in writing within 3 days of disqualification, which Syncner will review internally.","Students failing due to poor performance, absenteeism, or misconduct forfeit fees and future benefits. Appeals must be submitted within three days.",none,
Certificate Issuance,CERTIFICATE ISSUANCE & PARTIAL COMPLETION 6.1 Certificates will be issued only to students who: ●​ Successfully complete and gain approval in all mandatory phases​ ●​ Adhere to attendance and performance expectations​ ●​ Do not violate any IP or confidentiality clauses​ 6.2 Students who complete only Phase 1 and Phase 2 but do not qualify for Phase 3 or beyond may be issued partial completion certi,"Certificates are issued upon successful completion of all mandatory phases, adherence to expectations, and no IP/confidentiality violations. Partial completion certificates may be issued for completing only Phases 1 and 2.",low,Contains 'may be'
Certificate Issuance,"CERTIFICATE ISSUANCE & PARTIAL COMPLETION 6.1 Certificates will be issued only to students who: ●​ Successfully complete and gain approval in all mandatory phases​ ●​ Adhere to attendance and performance expectations​ ●​ Do not violate any IP or confidentiality clauses​ 6.2 Students who complete only Phase 1 and Phase 2 but do not qualify for Phase 3 or beyond may be issued partial completion certificates, only if disqualification","Full certificates are issued upon successful completion of all mandatory phases, meeting attendance/performance requirements, and adhering to IP/confidentiality rules. Partial certificates may be issued for completing only Phases 1 and 2, but only under specific, undefined disqualification circumstances.",low,Contains 'may be'
Certificate Issuance,"CERTIFICATE ISSUANCE & PARTIAL COMPLETION 6.1 Certificates will be issued only to students who: ●​ Successfully complete and gain approval in all mandatory phases​ ●​ Adhere to attendance and performance expectations​ ●​ Do not violate any IP or confidentiality clauses​ 6.2 Students who complete only Phase 1 and Phase 2 but do not qualify for Phase 3 or beyond may be issued partial completion certificates, only if disqualification occurs before entering Phase 3.​ No certificate will be g","Certificates are issued upon successful completion of all mandatory phases, meeting attendance/performance requirements, and adherence to IP/confidentiality rules. Partial certificates may be given for completing phases 1 & 2 only, but only if disqualification happens before starting phase 3.",low,Contains 'may be'
Certificate Issuance,"CERTIFICATE ISSUANCE & PARTIAL COMPLETION 6.1 Certificates will be issued only to students who: ●​ Successfully complete and gain approval in all mandatory phases​ ●​ Adhere to attendance and performance expectations​ ●​ Do not violate any IP or confidentiality clauses​ 6.2 Students who complete only Phase 1 and Phase 2 but do not qualify for Phase 3 or beyond may be issued partial completion certificates, only if disqualification occurs before entering Phase 3.​ No certificate will be granted if disqua","Certificates are issued upon successful completion of all mandatory phases, meeting attendance and performance standards, and adherence to IP/confidentiality rules. Partial certificates may be granted only for Phase 1 & 2 completion if disqualification occurs before Phase 3.",low,Contains 'may be'
Governing Law and Dispute Resolution,"GOVERNING LAW, ACKNOWLEDGMENT & SIGNATURES 7.1 This Agreement is governed by the laws of India, and jurisdiction shall rest with courts in Coimbatore, Tamil Nadu.​ 7.2 Syncner may attempt out-of-court resolution in case of any dispute, though it is not obligated","This agreement is governed by Indian law, with disputes resolved in Coimbatore courts.  Syncner may attempt, but is not required to, pursue out-of-court resolutions.",low,Contains 'attempt'
Governing Law and Dispute Resolution,"GOVERNING LAW, ACKNOWLEDGMENT & SIGNATURES 7.1 This Agreement is governed by the laws of India, and jurisdiction shall rest with courts in Coimbatore, Tamil Nadu.​ 7.2 Syncner may attempt out-of-court resolution in case of any dispute, though it is not obligated to do so.","This agreement is governed by Indian law, with jurisdiction in Coimbatore.  Syncner may, but is not required to, attempt alternative dispute resolution.",low,Contains 'attempt'
Acknowledgment and Acceptance,"Mandatory Acknowledgment & Signatures I, the undersigned, confirm that I have read, understood, and agreed to all terms outlined above.","This clause requires the signatory to acknowledge reading, understanding, and agreeing to the preceding terms.  Failure to sign indicates non-acceptance of the agreement.",none,
Disclaimer of Liability and Responsibility,"☐ I understand this is a skill training program, not a job guarantee I (Student) am solely responsible for own learning progress, task completion, and behavioral discipline..","This clause clarifies that the program is for skill training, not employment, and the student bears sole responsibility for their learning, assignments, and conduct.",medium,Contains 'solely responsible'
Agreement and Acceptance,"☐ I accept the confidentiality and IP protection terms, including compensation, penalties.​ ☐ I agree to follow leave policies, respect the phase process, and accept disqualification rules.​","This clause covers confidentiality, intellectual property, leave policies, project phases, and disqualification procedures.  Acceptance signifies agreement to abide by all stated terms and potential consequences.",high,Contains 'compensation'
Agreement and Acceptance of Terms,"☐ I accept the confidentiality and IP protection terms, including compensation, penalties.​ ☐ I agree to follow leave policies, respect the phase process, and accept disqualification rules.​","This clause covers confidentiality, intellectual property, leave policies, project phases, and disqualification rules.  Acceptance signifies agreement to abide by all stated terms and potential consequences.",high,Contains 'compensation'
